ENERGY,XSECTN
86.3,3.201452441754698e-21
86.4,3.1538738945752913e-21
86.5,3.1078216224271488e-21
86.6,3.0632218449433256e-21
86.7,3.0200057894296437e-21
86.8,1.2134798939345855e-20
86.9,4.631644851856746e-21
87.0,3.551248261315916e-21
87.1,3.1938739496331193e-21
87.2,3.021314413809165e-21
87.3,2.916435509818558e-21
87.4,2.842049526590762e-21
87.5,2.7834604188311695e-21
87.6,2.734210822441285e-21
87.7,2.690820236726454e-21
87.8,2.651424155024726e-21
87.9,2.614923501653138e-21
88.0,2.580633500414153e-21
88.1,2.5481067353777006e-21
88.2,2.5170384074540904e-21
88.3,2.4872129650215376e-21
88.4,2.4584727178479086e-21
88.5,2.430698681226314e-21
88.6,2.4037984994980894e-21
88.7,2.3776986115938994e-21
88.8,2.3523390370076762e-21
88.9,2.327669824888169e-21
89.0,2.3036485845552366e-21
89.1,2.2802387347433093e-21
89.2,2.2574082401005502e-21
89.3,2.2351286840718232e-21
89.4,2.213374577920302e-21
89.5,2.1921228380982805e-21
89.6,2.171352385376707e-21
89.7,2.151043833230093e-21
89.8,2.1311792424833127e-21
89.9,2.1117419257424937e-21
90.0,2.092616356376598e-21
90.1,2.0739878849405064e-21
90.2,2.05574269716776e-21
90.3,2.0378677951471126e-21
90.4,2.0203508773550767e-21
90.5,2.0031802754105337e-21
